category,nodes,threads,senders,mind,q1,medi,avrg,q3,maxd
u,20,4,1,0.411424,0.41282399999999997,0.41325900000000004,0.415210567,0.4141385,0.527564
u,20,4,2,0.41733299999999995,0.461183,0.49713450000000003,0.4936331265,0.5034695,0.568004
u,20,4,3,0.463065,0.50895825,0.5125595000000001,0.5255431845,0.546497,0.611585
u,20,4,4,0.46305799999999997,0.51017475,0.5436505,0.5325703235,0.5478547500000001,0.6152219999999999
u,20,4,5,0.46737700000000004,0.545663,0.5494325,0.542902732,0.55281,0.6131359999999999
u,20,4,6,0.473867,0.548073,0.552281,0.546242161,0.5553515,0.621653
u,20,4,7,0.474066,0.54917875,0.5563450000000001,0.5491128835,0.5603940000000001,0.627417
u,20,4,8,0.47499800000000003,0.5554100000000001,0.5604480000000001,0.553514175,0.56366225,0.6338509999999999
u,20,4,9,0.479213,0.5588890000000001,0.5628675000000001,0.555441256,0.56517425,0.639064
u,20,4,10,0.484468,0.56057475,0.566109,0.5588577965,0.5689905,0.639955
u,20,4,11,0.488612,0.562719,0.567382,0.5607918165,0.5697989999999999,0.642103
u,20,4,12,0.490386,0.566037,0.569887,0.5644754695,0.57272,0.640063
u,20,4,13,0.493873,0.5699032500000001,0.5739415,0.567819156,0.5764625000000001,0.645786
u,20,4,14,0.494853,0.5706815,0.574361,0.5682548945,0.57691375,0.644705
u,20,4,15,0.49822999999999995,0.5717365,0.576437,0.5699998405,0.5791457499999999,0.6484300000000001
u,20,4,16,0.49922900000000003,0.57582575,0.5798369999999999,0.575497422,0.5832005,0.6556500000000001
u,20,4,17,0.498051,0.5754952499999999,0.579983,0.574059891,0.583376,0.650292
u,20,4,18,0.5037739999999999,0.5788694999999999,0.582619,0.577840132,0.58548125,0.660834
u,20,4,19,0.51067,0.57999125,0.5843725,0.578965575,0.58803575,0.659144
u,20,4,20,0.514969,0.5515782499999999,0.5848415,0.576299612,0.59033525,0.654567
s,20,4,1,13.87009,14.243915,14.37864,14.39995914,14.563680000000002,15.280140000000001
s,20,4,2,14.48133,14.978947499999999,15.078434999999999,15.088579145,15.22317,15.951929999999999
s,20,4,3,14.63027,15.12415,15.259075,15.25716301,15.3764625,15.75931
s,20,4,4,15.34519,15.693999999999999,15.79118,15.81175908,15.94897,16.291150000000002
s,20,4,6,16.60247,16.970547500000002,17.088919999999998,17.13239662,17.2960075,17.76877
s,20,4,5,16.18571,16.453207499999998,16.553134999999997,16.583880595,16.6952025,17.11896
s,20,4,8,17.24633,17.9040825,18.036054999999998,18.03657949,18.131835000000002,19.00542
s,20,4,7,16.90605,17.242352500000003,17.37143,17.40205718,17.529357500000003,18.01383
s,20,4,9,18.02724,18.5180275,18.625619999999998,18.65356116,18.7731225,19.22441
s,20,4,10,18.52946,18.9498975,19.059855,19.083765875,19.223612499999998,19.7037
s,20,4,11,18.95674,19.48157,19.58464,19.60917495,19.737405000000003,20.19114
s,20,4,12,19.66424,19.944112500000003,20.034835,20.08443583,20.1875675,20.729750000000003
s,20,4,13,20.00723,20.64785,20.757295,20.76034114,20.8617325,21.60744
s,20,4,15,21.22437,21.534075,21.655755,21.66828157,21.791427499999998,22.35266
s,20,4,14,20.74808,21.107145000000003,21.26121,21.275577265,21.44028,22.01088
s,20,4,16,21.66741,22.08163,22.214,22.23062968,22.340495,22.72429
s,20,4,17,22.35308,22.7029825,22.82545,22.870102775,23.0227675,23.54387
s,20,4,18,22.54244,23.198164999999996,23.316760000000002,23.341376115,23.498084999999996,24.11661
s,20,4,19,23.302120000000002,23.792025000000002,23.8904,23.897131855,24.016325,24.3272
s,20,4,20,23.7843,24.2688,24.400299999999998,24.40900115,24.533925000000004,24.9449
