category,nodes,threads,senders,mind,q1,medi,avrg,q3,maxd
s,20,4,4,15.27169,15.7145425,15.877125000000001,15.89090401,16.0402,16.73319
u,22,4,4,0.467379,0.51512125,0.545964,0.533338575,0.55027475,0.617505
s,22,4,4,22.79294,23.638835,23.753205,23.7955796,23.943622500000004,24.616680000000002
u,24,4,4,0.468907,0.5151595,0.5476989999999999,0.5347963716666667,0.5519029999999999,0.620911
s,24,4,4,34.56096,35.28488,35.57271,35.57368739166667,35.8860825,36.57347
u,8,4,4,0.450358,0.5219355000000001,0.5324925,0.52223217375,0.53302575,0.564425
s,8,4,4,1.4568750000000001,1.51717825,1.530424,1.5353471575,1.549864,1.657028
u,10,4,4,0.452399,0.53241425,0.536393,0.527487701,0.5374385,0.6007480000000001
s,10,4,4,1.9044690000000002,1.9700935,1.9944190000000002,1.995622488,2.0184825,2.09418
u,12,4,4,0.454852,0.496892,0.535145,0.5206986183333333,0.53691125,0.5679190000000001
s,14,4,4,4.04314,4.145245,4.183854999999999,4.189477571428571,4.23037,4.42515
u,16,4,4,0.459599,0.5118385,0.5411779999999999,0.532689629375,0.5444074999999999,0.572101
s,16,4,4,6.27972,6.41925,6.452024999999999,6.45198974375,6.4927275,6.589980000000001
u,18,4,4,0.463102,0.51108975,0.5429394999999999,0.529212335,0.54654625,0.61233
s,18,4,4,9.93376,10.2756025,10.36183,10.35334556111111,10.4438825,10.785340000000001
u,20,4,4,0.46328,0.5120359999999999,0.5431675,0.5306738925,0.548036,0.617777
s,12,4,4,2.6633899999999997,2.7736275,2.8079899999999998,2.81582355,2.8541475,3.0035600000000002
u,14,4,4,0.458078,0.5042834999999999,0.538395,0.5277527828571429,0.54244325,0.6106240000000001
